,support,itemsets
1,0.15044214487300095,['发展']
8,0.08161806208842898,['推动']
9,0.06077140169332079,['推进']
10,0.05836312323612418,['改革']
2,0.05569143932267168,['可以']
0,0.05516462841015993,['促进']
4,0.05505174035747883,['增长']
5,0.05392285983066792,['导致']
6,0.05253057384760113,['带来']
7,0.05226716839134525,['投资']
3,0.05098777046095955,['可能']
