,support,itemsets
105,0.0049706534864781375,['或许']
19,0.004745991182004549,['为此']
148,0.004717908393945351,['稳步']
101,0.004689825605886153,['总是']
102,0.004661742817826954,['恐怕']
72,0.004324749361116572,['大规模']
180,0.004156252632761381,['重点']
169,0.00398775590440619,['过于']
79,0.003847341964110197,['尚未']
69,0.0037911763879918,['大概']
8,0.0037630935999326013,['不仅仅']
152,0.0037350108118734027,['纷纷']
43,0.0035945968715774103,['刚刚']
174,0.003538431295459013,['远远']
103,0.003538431295459013,['恰恰']
46,0.003510348507399815,['势必']
45,0.0032295206268078296,['到底']
96,0.0031733550506894324,['必将']
132,0.003061023898452638,['永远']
70,0.003061023898452638,['大约']
192,0.002864444382038249,['马上']
89,0.002864444382038249,['常常']
140,0.0028363615939790503,['的确']
18,0.0028082788059198517,['专门']
84,0.002780196017860653,['尽可能']
3,0.002752113229801455,['一度']
57,0.002724030441742256,['只有']
149,0.002724030441742256,['究竟']
13,0.0026959476536830575,['不用']
137,0.0026678648656238593,['率先']
185,0.0026678648656238593,['随后']
147,0.0026678648656238593,['短期']
222,0.0026397820775646607,"['已经', '没有']"
53,0.002611699289505462,['反过来']
31,0.002611699289505462,['以此']
156,0.002611699289505462,['结果']
23,0.002611699289505462,['互相']
117,0.0025836165014462634,['最为']
158,0.0025836165014462634,['绝对']
124,0.002555533713387065,['未必']
100,0.002499368137268668,['急剧']
112,0.002499368137268668,['早已']
51,0.0024712853492094696,['反复']
221,0.002443202561150271,"['已经', '比较']"
39,0.002443202561150271,['再度']
122,0.0024151197730910724,['有机']
11,0.002387036985031874,['不必']
127,0.0023589541969726755,['极其']
113,0.0023589541969726755,['暂时']
29,0.0023589541969726755,['从来']
54,0.002330871408913477,['只不过']
228,0.002302788620854278,"['已经', '非常']"
28,0.00227470583279508,['从中']
47,0.00227470583279508,['即将']
189,0.0022185402566766827,['非法']
24,0.0021904574686174845,['人为']
65,0.002162374680558286,['大多']
60,0.002134291892499087,['固然']
